abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	1 2 1 2 2 2 2 1 1 1 2 2 1 1 1 2 1 1 2 2 1 2 2 2 1 2 2 1 2 1 1 1 2 1 1 1 1 2 1 2 2 1 1 1 1 2 2 1 1 2 2 1 2 2 2 2 2 2 2 1 1 1 2 2 1 2 2 2 2 2 2 2 2 1
abbc	Gold	1 0 0 1 0 2 1 1 0 2 0 2 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 2 2 0 1 0 0 0 2 1 1 1 0 0 1 0 2 0 2 0 2 0 2 2 0 2 2 0 0 2 0 0 0 0 0 2 0 0 0 2 2 0 0 1 2
afck	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
afck	Relabel model	5 5 5 5 5 5 5 2 2 5 6 5 0 5 5 5 5 5 5 2 0 5 2 2 5 5 2 2 6 5 5 5 0 5 6 0 5 5 0 5 5 5 2 5 5 5 2 5
afck	Gold	4 0 2 0 0 2 3 6 6 3 0 4 4 6 0 0 3 0 4 4 2 4 0 6 4 2 0 1 5 4 4 6 6 2 2 2 6 3 2 6 0 4 2 0 2 0 0 3
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
chct	Relabel model	2 1 2 3 3 2 1 2 1 1 2 3 1 2 1 2 2 1 2 2 2 2 2 2 3 1 2 2 2 2 1 2 2 2 1 2 3 3 2 1 1 1 1 1 1 2 1 0 2 2 2 2 3 3 2 1 1 1 2 1 2 1 1 1
chct	Gold	1 1 2 3 2 2 1 1 1 1 1 1 1 1 1 2 2 2 1 2 1 2 2 0 1 2 1 2 2 1 1 1 1 1 1 1 1 3 1 1 2 1 0 2 2 2 2 2 1 3 1 2 2 3 1 1 1 1 1 1 2 1 1 2
clck	Main model	0 0 0 0 0 0 0 0
clck	Relabel model	2 2 2 2 2 2 2 2
clck	Gold	0 0 0 2 0 0 0 0
faan	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faan	Relabel model	1 2 2 1 2 2 1 1 2 1 2 2 1 2 2 2 1 0 2 1
faan	Gold	1 0 1 2 0 0 2 1 0 1 0 0 0 2 1 2 2 2 0 2
faly	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faly	Relabel model	4 4 3 3 4 3 4 4 4 3 4 4 3 3 4 3
faly	Gold	3 1 0 3 1 3 2 0 2 1 3 1 3 1 2 1
fani	Main model	0 0 0 0 0 0 0 0
fani	Relabel model	0 1 0 0 1 0 0 0
fani	Gold	0 0 0 1 0 1 0 1
farg	Main model	9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9
farg	Relabel model	3 3 3 3 3 0 3 2 3 3 3 3 3 6 0 0 3 2 2 6 3 3 3 3 3 0 3 2 3 3 3 2 2 3 2 2 2 2 2 0 0 3 2 3 3 2 1 2 2 3 0 3 3 3 3 3 3 3 3 2 0 3 2 0 2 0
farg	Gold	3 1 6 7 3 3 3 6 3 3 3 3 3 3 3 3 3 6 10 3 3 2 3 3 4 3 3 4 3 5 3 3 9 3 3 6 6 3 4 3 3 3 1 4 6 3 4 3 3 3 3 7 3 3 4 3 3 3 3 9 3 3 6 3 4 3
goop	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
