abbc	Main model	0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 0 1 0 1 0 0 0 0 1 0 0 1 1 1 1 0 1 1 1 1 1 1 0 1 0 0 0 1 1 0 1 1 1 0 1 1 1 0 1 0 1 1
abbc	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Gold	2 1 2 2 1 1 2 1 1 0 2 0 0 0 0 0 1 0 0 0 1 0 1 2 0 0 0 0 1 2 2 0 1 1 1 1 0 2 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 0 2 0 0 0 0 0 2 2 0 0 0 0 0 0
afck	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
afck	Relabel model	4 4 1 1 1 4 4 4 1 1 1 4 1 4 4 4 4 1 1 1 4 4 4 4 1 4 4 0 4 1 1 4 4 4 4 4 4 4 0 4 4 1 4 1 1 1 1 1
afck	Gold	2 4 2 6 0 0 6 2 2 6 4 4 1 4 2 0 0 4 3 6 6 0 0 2 6 3 4 2 0 0 4 2 3 4 6 0 2 2 5 0 0 6 4 3 0 4 0 6
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
chct	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Relabel model	0 0 2 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 2 2 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 2 2 0 0 0 0 0 0 0 0 0 0
chct	Gold	1 2 2 1 1 1 3 1 2 1 1 2 1 1 1 2 1 1 1 1 2 1 2 1 1 2 2 1 2 3 0 2 2 1 2 2 1 2 1 3 1 1 2 1 1 0 3 1 2 1 2 2 1 1 1 2 1 1 2 1 1 1 2 1
clck	Main model	0 0 0 0 0 0 0 0
clck	Relabel model	0 0 0 0 0 0 0 0
clck	Gold	2 0 0 0 0 2 0 0
faan	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faan	Relabel model	0 0 0 0 0 0 2 0 2 2 0 0 2 0 2 2 0 0 0 0
faan	Gold	2 2 0 0 1 0 0 1 0 2 2 1 2 0 0 1 1 2 1 2
faly	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faly	Relabel model	1 3 1 0 1 1 1 0 4 0 1 4 1 1 1 3
faly	Gold	2 3 2 0 1 1 3 1 3 3 0 3 2 1 1 3
fani	Main model	0 0 0 0 0 0 0 0
fani	Relabel model	0 0 0 0 0 0 0 0
fani	Gold	1 0 0 0 0 0 0 1
farg	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
farg	Relabel model	7 7 1 0 0 7 0 1 7 7 7 1 1 0 7 0 0 7 0 0 0 0 1 7 7 0 0 1 0 7 1 7 0 0 0 0 0 0 0 0 7 7 1 1 0 0 0 0 0 0 7 7 7 7 7 0 1 0 1 0 7 0 1 0 0 0
farg	Gold	3 3 3 4 3 3 3 3 9 3 3 3 3 3 3 6 3 3 3 7 4 10 3 3 1 6 3 6 4 6 3 3 3 3 3 2 3 7 5 3 3 3 3 6 3 3 4 3 4 6 3 9 3 3 3 4 3 3 1 3 3 6 3 4 3 3
