abbc	Main model	1 1 1 1 2 2 1 2 1 1 1 2 1 2 1 1 1 1 2 1 2 2 1 1 1 1 1 1 1 2 1 1 2 1 1 2 1 2 1 1
abbc	Relabel model	1 1 1 1 1 2 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 2 0 1 1 1 1 1 1 1 1
abbc	Gold	0 1 0 1 2 0 0 0 0 0 2 2 0 2 0 1 2 0 2 1 0 2 0 0 0 1 1 2 1 2 0 1 0 1 1 0 0 2 0 0
afck	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
afck	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 0 3 0 0 0 0 3 3 0 0 0 0 0
afck	Gold	0 6 2 2 0 5 2 2 6 0 0 0 0 2 6 2 4 3 6 2 2 0 2 0 2 3 3 2 2 6 2 6
bove	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bove	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Relabel model	0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Gold	3 0 2 1 2 1 2 1 1 2 3 1 2 2 2 2 1 2 2 1 1 0 1 2 3 2 2 2 1 2 1 2
clck	Main model	0 0 0 0
clck	Relabel model	1 1 1 1
clck	Gold	0 2 0 2
faan	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Relabel model	2 0 0 0 2 2 2 0 0 0 2 2 0 0 2 2
faan	Gold	0 2 0 2 2 0 2 2 2 0 1 0 0 2 2 2
faly	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1
faly	Relabel model	1 4 1 4 1 4 1 1 1 1 4 1 1 4
faly	Gold	1 4 0 2 1 3 3 3 0 0 2 1 0 3
fani	Main model	2 2 2 2
fani	Relabel model	2 1 1 1
fani	Gold	1 0 0 0
farg	Main model	5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
farg	Relabel model	7 7 10 6 7 7 6 2 7 6 7 7 10 7 10 6 7 7 7 10 10 7 6 10 7 6 7 7 10 10 10 7 10 7 6 6 7 7 10 7 10 10 7 7 7 7 7 10
farg	Gold	6 3 10 3 3 6 3 3 3 3 6 3 3 3 3 9 3 1 3 4 2 1 3 3 3 3 9 10 3 3 6 6 3 3 3 3 3 3 6 3 3 5 6 1 9 3 3 3
goop	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
goop	Relabel model	3 1 1 1 3 1 1 3 1 1 1 1 1 3 1 1 3 1 3 1 3 3 3 1 3 3 3 1 1 3 1 1 1 1 1 1 1 1 1 1 3 3 1 3 3 1 1 1 1 1 3 3 1 1 1 1 1 1 1 1 1 1 3 1 1 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 3 1 3 1 3 3 3 1 1 3 1 3 3 3 1 1 1 1 3 4 1 1 1 1 1 1 3 1 3 1 4 1 3 1 3 1 3 1 1 1 3 1 1 1 3 3 3 1 3 3 1 3 1 1 1 3 1 1 3 1 4 1 1 3 1 1 1 1 1 3 3 1 1 1 1 1 1 1 1 1 3 1 1 1 3 1 4 3 1 1 3 1 1 3 1 1 3 1 1 1 1 1 1 3 1 3 1 3 1 1 1 3 3 1 1 3 1 1 1 1 3 1 1 1 1 3 1 1 3 3 1 1 1 1 3 3 1 3 3 1 1 1 1 3 3 1 1 3 1 1 1 1 1 1 3 3 1 1 1 1 1 1 1 3 3 3 1 1 1 3 1 1 3 1 1 1 1 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 3 1 4 3 3 3 1 1 1 3 1 3 1 1 3 1 1 1 1 1 1 1 1 3
goop	Gold	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 4 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 0 0 3 0 4 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 1 4 1 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 0 1 0 0 4 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 1 4 0 0
hoer	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
hoer	Relabel model	0 6 4 0 6 6 6 4 6 5 6 5 0 6 0 6 5 6 6 6 6 0 6 4 6 4 0 5 2 6 5 5 6 6 0 5 6 5 5 5 0 0 6 0 6 4 6 5 5 0 0 0 6 6 0 6 6 0 6 6 6 6 6 6 0 0 5 0 5 6 0 6 6 0 5 6 5 6 6 6 6 0 6 6 6 6 5 0 0 6 4 5 4 6 6 0 0 6 6 6 6 5 6 0 6 0 6 6 6 6 0 0 6 0 6 0 0 6 6 6 0 5 0 6 6 0 6 6 6 6 0 0 6 5 4 6 0 0 0 0
hoer	Gold	1 5 2 1 1 0 4 6 0 5 1 1 5 1 1 0 2 1 1 5 0 1 1 2 4 3 1 5 2 5 5 1 5 1 5 1 1 1 0 1 5 5 4 0 0 5 1 1 2 1 5 5 3 5 1 1 1 1 0 1 1 1 2 1 4 5 1 2 5 0 1 0 0 5 0 5 4 4 5 0 4 0 1 1 5 1 1 5 5 5 0 1 4 0 1 0 1 1 1 1 0 4 5 1 1 5 5 4 0 5 0 0 6 1 5 5 1 4 2 0 1 4 2 4 5 1 6 1 5 1 1 1 1 4 6 5 5 1 1 1
huca	Main model	0 0 0 0 0 0 0 0
huca	Relabel model	0 0 0 0 0 0 0 0
huca	Gold	2 1 0 2 2 2 0 2
mpws	Main model	1 1 1 1 1 1 1 1
mpws	Relabel model	0 0 0 0 0 0 0 0
mpws	Gold	1 2 1 0 2 1 2 2
obry	Main model	3 3 3 3 3 3 3 3 3 3
