abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
abbc	Gold	2 0 1 0 1 2 0 0 2 0 0 0 1 0 2 2 0 0 1 1 0 1 2 1 2 2 0 0 0 0 1 1 1 2 0 0 1 1 2 0
afck	Main model	5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
afck	Relabel model	6 6 5 2 6 5 6 6 6 6 2 6 2 2 6 2 6 6 6 5 2 2 6 2 5 6 6 6 2 6 5 2
afck	Gold	6 3 6 2 5 6 2 0 0 2 0 0 2 0 2 2 2 4 0 2 0 0 2 6 6 0 2 0 0 2 6 2
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Relabel model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
chct	Gold	2 3 1 2 2 1 2 1 3 1 2 2 3 1 1 2 2 0 2 2 2 2 1 1 2 1 0 1 2 1 1 0
clck	Main model	1 1 1 1
clck	Relabel model	0 0 0 0
clck	Gold	2 0 2 2
faan	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faan	Relabel model	1 1 1 1 2 1 1 2 1 1 2 2 1 1 1 2
faan	Gold	2 1 0 2 0 2 0 0 2 2 2 0 0 2 2 0
faly	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Relabel model	3 0 0 0 0 0 0 0 0 0 0 0 0 0
faly	Gold	1 4 0 3 1 3 2 3 1 3 2 1 0 3
fani	Main model	2 2 2 2
fani	Relabel model	0 0 0 0
fani	Gold	1 0 0 0
farg	Main model	8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
farg	Relabel model	3 3 3 3 3 3 3 3 6 3 3 3 3 3 6 3 3 3 3 3 6 6 3 3 3 3 6 3 3 3 3 3 3 3 3 3 3 3 3 3 6 3 3 3 6 3 3 3
farg	Gold	3 3 5 3 6 10 3 3 3 3 3 3 3 3 1 3 4 6 2 3 9 3 3 3 3 3 10 3 6 3 3 3 3 3 9 6 3 6 6 1 3 3 3 6 9 3 6 3
goop	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
