abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2
abbc	Gold	0 0 0 1 0 1 2 0 1 2 2 2 0 0 0 2 1 1 0 1 0 2 0 0 0 1 2 0 2 2 1 0 0 1 0 1 1 1 0 1
afck	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
afck	Relabel model	5 5 5 4 5 5 5 5 4 5 5 5 5 5 5 5 5 6 5 5 5 5 5 5 5 5 5 4 5 5 5 5
afck	Gold	6 2 6 5 2 2 0 0 2 3 0 4 2 0 6 2 0 2 0 2 2 0 0 6 0 0 0 2 2 2 0 6
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 3 1 1 1 1 1 2 1 1 1 1
chct	Gold	2 1 3 1 1 1 2 1 2 2 2 2 3 2 2 2 1 3 1 1 2 0 2 2 1 0 1 2 2 2 2 2
clck	Main model	0 0 0 0
clck	Relabel model	1 1 1 1
clck	Gold	2 0 0 0
faan	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faan	Relabel model	2 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2
faan	Gold	2 0 2 0 2 2 1 0 2 2 0 0 2 2 0 0
faly	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Relabel model	1 1 1 4 4 4 1 1 1 1 1 1 4 4
faly	Gold	3 3 0 1 4 1 2 3 3 3 3 0 1 1
fani	Main model	2 2 2 2
fani	Relabel model	2 2 2 2
fani	Gold	1 0 0 1
farg	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
farg	Relabel model	8 8 7 7 7 5 8 5 7 8 8 7 7 7 0 7 7 8 0 8 7 7 8 0 5 8 8 7 8 7 5 5 8 8 7 8 8 7 8 8 7 7 5 8 5 7 7 0
farg	Gold	3 4 3 3 3 3 9 1 3 6 10 3 3 3 9 3 3 3 6 3 3 3 6 10 3 3 3 3 1 6 3 3 6 3 3 3 6 2 3 3 3 5 3 6 3 3 3 6
