abbc	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
abbc	Relabel model	0 0 0 0 0 0 2 0 2 0 2 2 2 0 0 2 0 0 0 0 0 2 0 0 2 2 2 0 0 0 2 2 0 0 0 0 0 0 0 0
abbc	Gold	2 2 0 1 0 2 0 2 1 0 1 0 2 1 0 0 0 2 1 2 0 0 0 0 1 0 2 0 1 1 2 1 0 0 1 0 0 2 0 1
afck	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
afck	Relabel model	4 1 1 6 6 1 4 6 1 4 0 4 6 4 4 1 1 6 4 4 0 4 6 1 4 4 1 1 6 6 1 4
afck	Gold	2 2 0 0 2 6 0 6 0 3 2 0 2 4 2 2 0 0 6 2 5 0 6 2 4 2 2 0 2 2 0 0
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
chct	Relabel model	1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1
chct	Gold	2 2 1 2 1 2 1 2 2 1 1 2 2 3 1 2 2 0 0 1 2 1 2 3 1 1 2 2 3 3 3 2
clck	Main model	0 0 0 0
clck	Relabel model	2 1 2 2
clck	Gold	0 2 0 0
faan	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Relabel model	2 2 2 2 2 2 2 0 2 2 2 2 2 0 2 2
faan	Gold	2 0 2 0 2 2 0 2 2 1 0 2 2 2 0 0
faly	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0
faly	Relabel model	2 2 2 2 2 2 1 2 2 2 1 2 1 2
faly	Gold	1 2 3 4 1 0 3 2 3 3 3 4 3 3
fani	Main model	1 1 1 1
fani	Relabel model	2 2 2 2
fani	Gold	0 1 1 0
farg	Main model	8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
