abbc	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
abbc	Relabel model	2 2 2 2 2 2 2 2 1 2 1 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
abbc	Gold	1 0 2 2 0 0 0 0 0 0 1 1 1 0 2 2 2 1 2 1 0 1 0 0 2 0 1 0 2 0 1 0 2 0 0 1 1 1 0 1
afck	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
afck	Relabel model	6 6 6 6 6 2 2 2 2 6 6 2 6 2 2 2 6 2 2 6 6 2 2 6 2 6 6 2 2 2 6 6
afck	Gold	2 2 0 2 0 2 3 0 2 0 0 2 2 2 0 4 6 6 2 0 6 0 5 6 4 2 0 2 2 3 6 2
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
chct	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
chct	Gold	1 2 2 2 2 1 2 0 1 1 1 3 2 2 0 1 1 2 2 2 2 2 2 3 1 2 1 3 1 1 0 3
clck	Main model	0 0 0 0
clck	Relabel model	0 0 0 0
clck	Gold	0 2 2 0
faan	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faan	Relabel model	1 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0
faan	Gold	0 2 1 2 0 0 0 2 2 2 2 2 2 2 0 0
faly	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0
faly	Relabel model	0 0 3 0 0 0 2 3 0 0 0 0 0 0
faly	Gold	1 2 3 4 1 0 3 3 0 1 4 4 4 1
fani	Main model	0 0 0 0
fani	Relabel model	2 2 2 2
fani	Gold	1 0 0 1
farg	Main model	5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
farg	Relabel model	10 10 4 4 4 4 4 4 4 10 10 10 10 7 4 4 4 4 4 4 4 4 4 4 4 10 10 3 10 10 7 10 4 4 4 4 4 10 4 7 4 4 10 4 10 4 4 10
farg	Gold	6 3 10 6 3 3 3 3 4 10 6 9 3 6 3 3 3 3 3 3 3 3 5 3 2 3 3 3 6 3 3 1 3 3 9 3 3 3 6 3 3 1 3 3 6 1 3 1
